finger,acc_x,acc_y,acc_z,orientation,quat_w,quat_x,quat_y,quat_z,target
THUMB,0.853,-0.566,0.124,Towards you,0.629,-0.1,-0.673,0.375,A
INDEX,-0.876,-0.173,0.23,Left,0.593,-0.485,0.338,0.547,A
PALM,0.992,0.229,0.153,Towards you,-0.713,0.138,0.622,0.291,A
PINKY,-0.859,0.311,0.269,Right,-0.626,-0.505,-0.32,0.5,A
RING,-0.949,0.069,-0.105,Left,0.355,-0.598,0.438,0.569,A
MIDDLE,-0.965,-0.139,0.093,Away from you,0.709,-0.28,0.619,0.19,A
THUMB,0.842,-0.582,0.135,Towards you,0.633,-0.105,-0.67,0.373,A
INDEX,-0.879,-0.165,0.228,Left,0.582,-0.491,0.336,0.554,A
PALM,1.0,0.224,0.135,Towards you,-0.711,0.143,0.624,0.29,A
PINKY,-0.861,0.313,0.259,Right,-0.636,-0.502,-0.336,0.48,A
RING,-0.953,0.064,-0.122,Left,0.341,-0.61,0.43,0.572,A
MIDDLE,-0.969,-0.143,0.076,Away from you,0.702,-0.287,0.621,0.197,A
THUMB,0.834,-0.587,0.145,Towards you,0.636,-0.112,-0.665,0.375,A
INDEX,-0.885,-0.16,0.216,Left,0.571,-0.498,0.335,0.56,A
PALM,0.995,0.219,0.116,Towards you,-0.707,0.148,0.628,0.29,A
PINKY,-0.882,0.301,0.238,Right,-0.644,-0.497,-0.352,0.462,B
RING,-0.954,0.057,-0.139,Left,0.331,-0.621,0.422,0.572,B
MIDDLE,-0.955,-0.129,0.07,Away from you,0.697,-0.295,0.623,0.2,B
THUMB,0.822,-0.583,0.167,Towards you,0.638,-0.121,-0.662,0.375,B
INDEX,-0.876,-0.156,0.211,Left,0.56,-0.506,0.332,0.566,B
PALM,0.989,0.219,0.094,Towards you,-0.703,0.151,0.632,0.289,B
PINKY,-0.973,0.37,0.209,Right,-0.656,-0.494,-0.369,0.434,B
RING,-0.891,0.062,-0.142,Left,0.308,-0.634,0.414,0.577,B
MIDDLE,-0.999,-0.148,0.061,Away from you,0.686,-0.304,0.624,0.217,B
THUMB,0.823,-0.603,0.156,Towards you,0.64,-0.121,-0.655,0.383,B
INDEX,-0.893,-0.132,0.203,Left,0.543,-0.516,0.328,0.576,B
PALM,1.02,0.182,0.094,Towards you,-0.702,0.152,0.636,0.282,B
PINKY,-0.875,0.273,0.233,Right,-0.674,-0.477,-0.389,0.408,B
RING,-0.954,0.04,-0.152,Left,0.291,-0.646,0.388,0.589,B
MIDDLE,-0.977,-0.099,0.068,Left,0.684,-0.318,0.613,0.236,B
THUMB,0.83,-0.549,0.197,Towards you,0.639,-0.106,-0.657,0.386,B
INDEX,-0.897,-0.139,0.222,Left,0.526,-0.512,0.313,0.603,B
PALM,1.002,0.181,0.165,Towards you,-0.717,0.145,0.625,0.273,B
PINKY,-0.854,0.363,0.243,Right,-0.702,-0.462,-0.389,0.376,B
RING,-0.944,0.101,-0.15,Left,0.266,-0.644,0.375,0.611,B
MIDDLE,-0.983,-0.085,0.068,Left,0.684,-0.316,0.603,0.262,B
THUMB,0.845,-0.546,0.195,Towards you,0.642,-0.094,-0.657,0.383,B
INDEX,-0.883,-0.123,0.238,Left,0.51,-0.511,0.303,0.622,B
PALM,1.009,0.206,0.135,Towards you,-0.722,0.144,0.622,0.265,B
PINKY,-0.836,0.348,0.27,Right,-0.715,-0.449,-0.406,0.349,B
RING,-0.947,0.094,-0.101,Left,0.249,-0.654,0.358,0.618,B
MIDDLE,-0.969,-0.104,0.088,Left,0.679,-0.327,0.598,0.274,B
THUMB,0.838,-0.575,0.18,Towards you,0.642,-0.096,-0.657,0.383,B
INDEX,-0.886,-0.131,0.227,Left,0.5,-0.517,0.295,0.629,B
PALM,1.013,0.187,0.128,Towards you,-0.719,0.148,0.624,0.267,B
PINKY,-0.856,0.356,0.234,Right,-0.72,-0.444,-0.418,0.332,B
RING,-0.944,0.114,-0.124,Left,0.239,-0.661,0.352,0.618,B
MIDDLE,-0.966,-0.1,0.085,Left,0.675,-0.33,0.6,0.276,B
THUMB,0.844,-0.545,0.182,Towards you,0.647,-0.104,-0.654,0.378,B
INDEX,-0.884,-0.123,0.219,Left,0.494,-0.52,0.293,0.632,B
PALM,1.015,0.188,0.123,Towards you,-0.715,0.155,0.625,0.272,B
PINKY,-0.853,0.357,0.239,Right,-0.727,-0.435,-0.429,0.315,B
RING,-0.943,0.118,-0.135,Left,0.23,-0.667,0.344,0.62,B
MIDDLE,-0.968,-0.088,0.081,Left,0.671,-0.334,0.6,0.28,B
THUMB,0.84,-0.568,0.188,Towards you,0.65,-0.112,-0.652,0.374,B
INDEX,-0.892,-0.123,0.216,Left,0.487,-0.524,0.289,0.636,B
PALM,1.016,0.177,0.112,Towards you,-0.711,0.162,0.626,0.276,B
PINKY,-0.856,0.365,0.225,Right,-0.733,-0.426,-0.44,0.297,B
RING,-0.938,0.11,-0.133,Left,0.22,-0.672,0.334,0.623,B
MIDDLE,-0.968,-0.103,0.08,Left,0.669,-0.339,0.597,0.284,B
THUMB,0.83,-0.573,0.185,Towards you,0.652,-0.12,-0.651,0.368,B
INDEX,-0.887,-0.124,0.215,Left,0.482,-0.528,0.283,0.639,B
PALM,1.012,0.181,0.106,Towards you,-0.708,0.166,0.626,0.282,B
