finger,acc_x,acc_y,acc_z,orientation,quat_w,quat_x,quat_y,quat_z,target
RING,-0.938,0.09,-0.194,Towards you,0.02,-0.763,0.1,0.638,B
MIDDLE,-0.969,-0.106,0.026,Left,0.631,-0.402,0.579,0.323,B
THUMB,0.793,-0.624,0.184,Towards you,0.737,-0.376,-0.548,0.124,B
INDEX,-0.905,-0.14,0.172,Towards you,0.354,-0.593,0.185,0.699,B
PALM,1.018,0.186,0.033,Left,-0.54,0.392,0.549,0.503,B
PINKY,-0.87,0.336,0.185,Away from you,-0.753,-0.088,-0.628,-0.176,B
RING,-0.942,0.081,-0.195,Towards you,0.012,-0.765,0.091,0.638,B
MIDDLE,-0.969,-0.125,0.017,Left,0.629,-0.405,0.578,0.325,B
THUMB,0.776,-0.65,0.2,Towards you,0.738,-0.383,-0.543,0.119,B
INDEX,-0.923,-0.112,0.138,Towards you,0.348,-0.597,0.183,0.699,B
PALM,1.015,0.177,0.036,Left,-0.534,0.402,0.546,0.505,B
PINKY,-0.855,0.353,0.196,Away from you,-0.749,-0.074,-0.629,-0.194,B
RING,-0.93,0.1,-0.226,Towards you,0.001,-0.765,0.081,0.639,B
MIDDLE,-0.993,-0.077,-0.047,Left,0.626,-0.407,0.577,0.332,B
THUMB,0.779,-0.638,0.217,Towards you,0.741,-0.384,-0.538,0.114,B
