finger,acc_x,acc_y,acc_z,orientation,quat_w,quat_x,quat_y,quat_z,target
MIDDLE,-0.76,0.647,0.007,Left,0.295,-0.303,0.627,0.655,A
THUMB,-0.694,-0.131,0.779,Up,0.719,-0.264,0.256,0.589,A
INDEX,-0.54,0.489,0.262,Left,0.3,-0.247,0.467,0.794,A
PALM,-0.051,-0.763,-0.672,Down,-0.354,0.851,-0.367,0.124,A
PINKY,-0.492,0.784,-0.344,Towards you,0.252,0.634,-0.477,-0.554,A
RING,-0.63,0.658,-0.257,Right,-0.614,-0.664,-0.409,0.119,A
MIDDLE,-0.744,0.632,0.024,Left,0.291,-0.312,0.621,0.657,A
THUMB,-0.709,-0.065,0.753,Up,0.716,-0.267,0.259,0.591,A
INDEX,-0.653,0.552,0.345,Left,0.299,-0.255,0.471,0.79,A
PALM,-0.054,-0.745,-0.693,Down,-0.348,0.85,-0.378,0.117,A
PINKY,-0.474,0.781,-0.33,Towards you,0.257,0.64,-0.469,-0.552,A
RING,-0.622,0.667,-0.269,Right,-0.614,-0.662,-0.414,0.117,A
MIDDLE,-0.762,0.648,0.022,Left,0.29,-0.315,0.62,0.657,A
THUMB,-0.728,-0.082,0.743,Up,0.715,-0.269,0.262,0.59,A
INDEX,-0.65,0.549,0.317,Left,0.299,-0.259,0.472,0.788,A
PALM,-0.059,-0.754,-0.686,Down,-0.347,0.846,-0.387,0.12,A
PINKY,-0.484,0.796,-0.319,Towards you,0.265,0.646,-0.463,-0.546,A
RING,-0.656,0.663,-0.276,Right,-0.614,-0.661,-0.418,0.11,A
MIDDLE,-0.753,0.669,0.034,Left,0.286,-0.313,0.621,0.659,A
THUMB,-0.697,-0.073,0.739,Up,0.721,-0.263,0.26,0.586,A
INDEX,-0.611,0.525,0.314,Left,0.302,-0.25,0.476,0.788,A
PALM,-0.079,-0.763,-0.723,Down,-0.347,0.838,-0.4,0.133,A
PINKY,-0.464,0.777,-0.352,Towards you,0.268,0.638,-0.47,-0.548,A
RING,-0.615,0.686,-0.246,Right,-0.618,-0.667,-0.4,0.114,A
MIDDLE,-0.729,0.669,0.051,Left,0.299,-0.295,0.622,0.661,A
THUMB,-0.672,-0.095,0.775,Up,0.737,-0.258,0.257,0.569,A
INDEX,-0.559,0.532,0.304,Left,0.323,-0.234,0.471,0.787,A
PALM,-0.03,-0.767,-0.652,Down,-0.337,0.829,-0.42,0.153,A
PINKY,-0.494,0.79,-0.312,Towards you,0.273,0.638,-0.464,-0.551,A
RING,-0.64,0.68,-0.233,Right,-0.622,-0.661,-0.404,0.113,A
MIDDLE,-0.75,0.647,0.044,Left,0.296,-0.299,0.618,0.664,A
THUMB,-0.698,-0.107,0.767,Up,0.734,-0.26,0.257,0.572,A
INDEX,-0.615,0.55,0.326,Left,0.317,-0.239,0.473,0.786,A
PALM,-0.04,-0.743,-0.681,Down,-0.337,0.827,-0.425,0.149,A
PINKY,-0.468,0.801,-0.327,Towards you,0.28,0.647,-0.453,-0.545,A
RING,-0.637,0.694,-0.246,Right,-0.62,-0.659,-0.413,0.107,A
MIDDLE,-0.758,0.63,0.051,Left,0.29,-0.306,0.618,0.663,A
THUMB,-0.697,-0.088,0.744,Up,0.732,-0.26,0.26,0.574,A
INDEX,-0.62,0.563,0.316,Left,0.316,-0.241,0.476,0.784,A
PALM,-0.052,-0.758,-0.69,Down,-0.338,0.822,-0.433,0.148,A
PINKY,-0.452,0.796,-0.332,Towards you,0.287,0.654,-0.445,-0.54,A
RING,-0.625,0.698,-0.275,Right,-0.62,-0.656,-0.418,0.102,A
MIDDLE,-0.748,0.653,0.036,Left,0.286,-0.311,0.618,0.664,A
THUMB,-0.703,-0.098,0.75,Up,0.73,-0.26,0.261,0.575,A
INDEX,-0.631,0.521,0.335,Left,0.312,-0.244,0.476,0.785,A
PALM,-0.048,-0.746,-0.68,Down,-0.336,0.821,-0.438,0.148,A
PINKY,-0.491,0.8,-0.325,Towards you,0.293,0.664,-0.429,-0.537,A
RING,-0.65,0.669,-0.266,Right,-0.62,-0.648,-0.432,0.1,A
MIDDLE,-0.782,0.608,0.064,Left,0.285,-0.323,0.611,0.664,A
THUMB,-0.716,-0.095,0.723,Up,0.727,-0.269,0.263,0.574,A
INDEX,-0.649,0.524,0.316,Left,0.316,-0.253,0.476,0.781,A
PALM,-0.055,-0.753,-0.704,Down,-0.332,0.816,-0.451,0.143,A
PINKY,-0.454,0.779,-0.353,Towards you,0.292,0.674,-0.426,-0.529,A
RING,-0.638,0.655,-0.272,Right,-0.612,-0.653,-0.437,0.095,A
MIDDLE,-0.769,0.616,0.029,Left,0.279,-0.326,0.619,0.657,A
THUMB,-0.716,-0.084,0.745,Up,0.723,-0.261,0.273,0.579,A
INDEX,-0.654,0.548,0.301,Left,0.315,-0.252,0.485,0.776,A
PALM,-0.088,-0.766,-0.699,Down,-0.338,0.808,-0.461,0.143,A
PINKY,-0.426,0.771,-0.36,Towards you,0.297,0.68,-0.417,-0.525,A
RING,-0.639,0.676,-0.294,Right,-0.611,-0.65,-0.443,0.092,A
MIDDLE,-0.813,0.63,0.049,Left,0.275,-0.334,0.617,0.657,A
THUMB,-0.755,-0.111,0.718,Up,0.719,-0.265,0.274,0.581,A
INDEX,-0.679,0.508,0.33,Left,0.31,-0.258,0.483,0.777,A
PALM,-0.089,-0.746,-0.686,Down,-0.335,0.807,-0.465,0.142,A
PINKY,-0.46,0.77,-0.354,Towards you,0.306,0.686,-0.406,-0.52,A
RING,-0.609,0.648,-0.282,Right,-0.614,-0.644,-0.448,0.085,A
MIDDLE,-0.732,0.619,0.013,Left,0.27,-0.336,0.614,0.661,A
THUMB,-0.733,-0.052,0.741,Up,0.722,-0.261,0.273,0.58,A
INDEX,-0.663,0.552,0.309,Left,0.308,-0.26,0.487,0.775,A
