finger,acc_x,acc_y,acc_z,orientation,quat_w,quat_x,quat_y,quat_z,target
PALM,1.021,0.099,0.155,Towards you,0.76,-0.094,-0.628,-0.14,F
PINKY,0.996,-0.321,0.072,Towards you,0.725,-0.281,-0.626,-0.057,F
RING,0.993,-0.185,-0.129,Towards you,-0.604,-0.159,0.741,-0.247,F
MIDDLE,0.995,0.004,-0.174,Away from you,0.173,0.733,-0.195,0.628,F
THUMB,0.316,0.042,1.01,Up,0.939,-0.025,-0.152,-0.309,F
INDEX,1.023,-0.12,-0.201,Right,0.297,0.64,-0.46,0.539,F
PALM,1.021,0.092,0.157,Towards you,0.759,-0.1,-0.626,-0.146,F
PINKY,0.998,-0.333,0.078,Towards you,0.724,-0.292,-0.621,-0.069,F
RING,0.996,-0.179,-0.126,Towards you,-0.606,-0.153,0.742,-0.243,F
MIDDLE,0.995,-0.006,-0.17,Away from you,0.174,0.733,-0.196,0.628,F
THUMB,0.319,0.051,1.009,Up,0.94,-0.024,-0.152,-0.305,F
INDEX,1.024,-0.129,-0.205,Right,0.299,0.638,-0.463,0.538,F
PALM,1.024,0.09,0.159,Towards you,0.759,-0.105,-0.625,-0.153,F
PINKY,0.998,-0.321,0.06,Towards you,0.723,-0.303,-0.615,-0.083,F
RING,0.992,-0.197,-0.118,Towards you,-0.61,-0.144,0.743,-0.237,F
MIDDLE,0.998,-0.011,-0.169,Away from you,0.177,0.731,-0.198,0.629,F
THUMB,0.31,0.049,1.012,Up,0.94,-0.024,-0.151,-0.304,F
INDEX,1.021,-0.12,-0.196,Right,0.303,0.633,-0.466,0.539,F
PALM,1.019,0.099,0.159,Towards you,0.757,-0.111,-0.624,-0.16,F
PINKY,0.992,-0.328,0.077,Towards you,0.723,-0.313,-0.608,-0.096,F
RING,0.992,-0.204,-0.118,Towards you,-0.613,-0.137,0.743,-0.231,F
MIDDLE,0.993,-0.005,-0.171,Away from you,0.178,0.73,-0.2,0.629,F
THUMB,0.317,0.058,1.008,Up,0.941,-0.023,-0.151,-0.302,F
INDEX,1.024,-0.12,-0.195,Right,0.305,0.631,-0.468,0.538,F
PALM,1.022,0.084,0.172,Towards you,0.755,-0.117,-0.623,-0.167,F
PINKY,0.992,-0.337,0.088,Towards you,0.723,-0.323,-0.601,-0.109,F
RING,0.995,-0.189,-0.116,Towards you,-0.617,-0.13,0.742,-0.227,F
MIDDLE,1.0,-0.012,-0.134,Away from you,0.179,0.727,-0.2,0.632,F
THUMB,0.307,0.044,1.007,Up,0.943,-0.026,-0.149,-0.296,F
INDEX,1.031,-0.138,-0.174,Right,0.31,0.623,-0.468,0.545,F
PALM,1.028,0.077,0.157,Towards you,0.752,-0.119,-0.626,-0.167,F
PINKY,0.992,-0.325,0.111,Towards you,0.73,-0.32,-0.592,-0.116,F
RING,0.997,-0.18,-0.073,Towards you,-0.625,-0.13,0.734,-0.23,F
MIDDLE,1.009,-0.017,-0.122,Away from you,0.175,0.722,-0.192,0.641,F
THUMB,0.301,0.046,1.042,Up,0.95,-0.024,-0.152,-0.273,F
INDEX,1.03,-0.107,-0.157,Right,0.311,0.615,-0.46,0.56,F
PALM,1.002,0.148,0.124,Towards you,0.757,-0.109,-0.626,-0.154,F
PINKY,1.001,-0.217,0.139,Towards you,0.783,-0.22,-0.579,-0.061,F
RING,0.95,0.039,0.304,Right,-0.707,-0.238,0.577,-0.332,F
MIDDLE,0.906,0.008,0.429,Away from you,0.097,0.562,-0.025,0.821,F
THUMB,0.561,-0.681,0.568,Towards you,0.877,-0.273,-0.364,0.156,F
INDEX,0.875,-0.222,0.355,Away from you,0.193,0.505,-0.294,0.788,F
PALM,1.047,0.043,-0.038,Towards you,0.716,0.064,-0.693,0.059,F
PINKY,0.746,0.287,0.661,Up,0.912,0.124,-0.374,0.115,F
RING,0.521,0.337,0.83,Up,-0.766,-0.268,0.153,-0.564,F
MIDDLE,0.464,0.278,0.847,Up,-0.086,0.213,0.12,0.966,F
THUMB,0.467,-0.833,0.378,Towards you,0.697,-0.314,-0.458,0.454,F
INDEX,0.599,-0.121,0.63,Up,0.009,0.322,-0.152,0.934,F
PALM,1.017,0.018,-0.248,Towards you,0.626,0.21,-0.724,0.198,F
PINKY,0.293,0.357,1.014,Up,0.934,0.139,-0.121,0.307,F
RING,-0.207,0.325,0.972,Up,-0.696,-0.053,-0.143,-0.701,F
MIDDLE,-0.152,0.153,0.928,Up,-0.216,-0.062,0.05,0.973,F
THUMB,0.196,-0.98,0.333,Towards you,0.594,-0.318,-0.499,0.546,F
INDEX,0.063,-0.24,0.893,Up,-0.11,0.118,-0.147,0.976,F
PALM,0.983,0.125,-0.195,Towards you,0.603,0.296,-0.707,0.221,F
PINKY,0.236,0.358,0.962,Up,0.921,0.108,-0.029,0.373,F
RING,-0.234,0.307,0.943,Up,-0.662,0.014,-0.178,-0.729,F
MIDDLE,-0.133,0.157,1.0,Up,-0.231,-0.082,0.026,0.969,F
THUMB,0.375,-0.911,0.357,Towards you,0.633,-0.279,-0.5,0.521,F
INDEX,0.192,-0.179,0.843,Up,-0.12,0.111,-0.124,0.979,F
PALM,1.038,0.079,-0.159,Towards you,0.621,0.269,-0.701,0.226,F
PINKY,0.21,0.277,0.938,Up,0.916,0.119,-0.03,0.382,F
RING,-0.232,0.26,0.949,Up,-0.647,0.015,-0.178,-0.741,F
MIDDLE,-0.154,0.124,0.99,Up,-0.246,-0.081,0.026,0.966,F
THUMB,0.324,-0.886,0.396,Towards you,0.633,-0.27,-0.492,0.533,F
INDEX,0.158,-0.153,0.852,Up,-0.132,0.123,-0.116,0.977,F
PALM,1.034,0.045,-0.214,Towards you,0.618,0.268,-0.706,0.221,F
PINKY,0.187,0.254,0.965,Up,0.916,0.111,-0.037,0.384,F
RING,-0.257,0.263,0.958,Up,-0.652,0.018,-0.171,-0.739,F
MIDDLE,-0.118,0.059,1.0,Up,-0.234,-0.074,0.02,0.969,F
THUMB,0.37,-0.896,0.338,Towards you,0.635,-0.285,-0.49,0.525,F
INDEX,0.154,-0.148,0.859,Up,-0.114,0.133,-0.116,0.978,F
PALM,1.026,0.028,-0.199,Towards you,0.619,0.242,-0.721,0.195,F
PINKY,0.196,0.27,0.938,Up,0.925,0.113,-0.041,0.36,F
RING,-0.246,0.309,0.944,Up,-0.667,0.012,-0.175,-0.724,F
MIDDLE,-0.135,0.097,0.979,Up,-0.214,-0.08,0.025,0.973,F
THUMB,0.331,-0.887,0.379,Towards you,0.64,-0.292,-0.474,0.53,F
INDEX,0.137,-0.132,0.857,Up,-0.113,0.127,-0.105,0.98,F
PALM,1.021,0.055,-0.244,Towards you,0.608,0.239,-0.732,0.195,F
PINKY,0.182,0.268,0.934,Up,0.919,0.116,-0.032,0.376,F
RING,-0.251,0.301,0.948,Up,-0.655,0.016,-0.178,-0.735,F
MIDDLE,-0.125,0.105,0.979,Up,-0.222,-0.08,0.023,0.971,F
THUMB,0.255,-0.923,0.431,Towards you,0.633,-0.297,-0.47,0.538,F
INDEX,0.165,-0.146,0.841,Up,-0.116,0.132,-0.103,0.979,F
PALM,1.024,0.042,-0.248,Towards you,0.606,0.231,-0.739,0.184,F
PINKY,0.178,0.299,0.946,Up,0.92,0.115,-0.038,0.374,F
RING,-0.266,0.31,0.941,Up,-0.654,0.016,-0.177,-0.735,F
MIDDLE,-0.144,0.127,0.983,Up,-0.219,-0.081,0.023,0.972,F
THUMB,0.292,-0.913,0.389,Towards you,0.634,-0.299,-0.469,0.537,F
INDEX,0.146,-0.152,0.845,Up,-0.115,0.133,-0.106,0.979,F
PALM,1.019,0.046,-0.255,Towards you,0.611,0.221,-0.741,0.169,F
PINKY,0.204,0.252,0.954,Up,0.921,0.095,-0.047,0.374,F
RING,-0.27,0.243,0.964,Up,-0.659,0.031,-0.157,-0.735,F
MIDDLE,-0.098,0.063,0.993,Up,-0.212,-0.065,0.004,0.975,F
THUMB,0.34,-0.916,0.356,Towards you,0.643,-0.296,-0.484,0.514,F
INDEX,0.177,-0.208,0.83,Up,-0.116,0.135,-0.122,0.976,F
PALM,1.03,0.098,-0.194,Towards you,0.63,0.217,-0.73,0.151,F
PINKY,0.155,0.248,0.965,Up,0.92,0.087,-0.034,0.381,F
RING,-0.293,0.25,0.958,Up,-0.652,0.046,-0.167,-0.739,F
MIDDLE,-0.13,0.082,0.978,Up,-0.215,-0.08,0.002,0.973,F
THUMB,0.338,-0.892,0.372,Towards you,0.646,-0.29,-0.482,0.516,F
INDEX,0.134,-0.176,0.858,Up,-0.12,0.127,-0.114,0.978,F
PALM,1.017,0.065,-0.235,Towards you,0.626,0.204,-0.738,0.148,F
PINKY,0.138,0.285,0.96,Up,0.92,0.097,-0.024,0.379,F
RING,-0.302,0.271,0.937,Up,-0.65,0.044,-0.179,-0.737,F
MIDDLE,-0.156,0.06,0.989,Up,-0.21,-0.086,0.006,0.974,F
THUMB,0.322,-0.915,0.391,Towards you,0.645,-0.294,-0.474,0.522,F
INDEX,0.123,-0.157,0.847,Up,-0.116,0.125,-0.111,0.979,F
PALM,1.018,0.078,-0.225,Towards you,0.627,0.188,-0.743,0.136,F
PINKY,0.14,0.231,0.97,Up,0.922,0.091,-0.03,0.375,F
RING,-0.267,0.26,0.939,Up,-0.654,0.044,-0.171,-0.736,F
MIDDLE,-0.129,0.084,0.976,Up,-0.202,-0.082,0.005,0.976,F
THUMB,0.327,-0.903,0.4,Towards you,0.652,-0.295,-0.473,0.514,F
INDEX,0.128,-0.158,0.844,Up,-0.111,0.124,-0.11,0.98,F
PALM,1.016,0.082,-0.241,Towards you,0.629,0.175,-0.747,0.125,F
PINKY,0.136,0.263,0.954,Up,0.921,0.092,-0.024,0.377,F
RING,-0.302,0.299,0.932,Up,-0.651,0.047,-0.178,-0.736,F
MIDDLE,-0.142,0.101,0.971,Up,-0.203,-0.09,0.008,0.975,F
THUMB,0.291,-0.888,0.43,Towards you,0.649,-0.297,-0.466,0.523,F
INDEX,0.119,-0.13,0.847,Up,-0.12,0.116,-0.102,0.981,F
PALM,1.02,0.032,-0.279,Towards you,0.622,0.166,-0.755,0.127,F
PINKY,0.12,0.283,0.949,Up,0.918,0.101,-0.014,0.382,F
RING,-0.333,0.275,0.933,Up,-0.642,0.05,-0.188,-0.742,F
MIDDLE,-0.174,0.077,0.981,Up,-0.207,-0.099,0.008,0.973,F
THUMB,0.301,-0.898,0.4,Towards you,0.644,-0.299,-0.465,0.529,F
INDEX,0.119,-0.156,0.851,Up,-0.124,0.111,-0.103,0.981,F
PALM,1.013,0.044,-0.252,Towards you,0.621,0.157,-0.759,0.117,F
PINKY,0.116,0.29,0.958,Up,0.919,0.099,-0.011,0.382,F
RING,-0.315,0.245,0.935,Up,-0.642,0.053,-0.188,-0.741,F
MIDDLE,-0.165,0.076,0.987,Up,-0.204,-0.1,0.006,0.974,G
THUMB,0.301,-0.889,0.412,Towards you,0.644,-0.301,-0.466,0.527,G
INDEX,0.136,-0.137,0.839,Up,-0.123,0.109,-0.103,0.981,G
PALM,1.017,0.007,-0.27,Towards you,0.621,0.145,-0.763,0.106,G
PINKY,0.116,0.244,0.96,Up,0.919,0.096,-0.008,0.383,G
RING,-0.328,0.244,0.94,Up,-0.641,0.059,-0.188,-0.742,G
MIDDLE,-0.183,0.099,0.971,Up,-0.2,-0.105,0.002,0.974,G
THUMB,0.276,-0.922,0.4,Towards you,0.642,-0.306,-0.464,0.529,G
INDEX,0.086,-0.156,0.839,Up,-0.125,0.1,-0.104,0.982,G
PALM,1.017,0.035,-0.309,Towards you,0.616,0.137,-0.77,0.096,G
PINKY,0.1,0.276,0.955,Up,0.918,0.096,-0.0,0.385,G
RING,-0.346,0.269,0.929,Up,-0.638,0.064,-0.192,-0.743,G
MIDDLE,-0.209,0.07,0.97,Up,-0.2,-0.109,-0.001,0.974,G
THUMB,0.274,-0.927,0.384,Towards you,0.637,-0.306,-0.466,0.532,G
INDEX,0.079,-0.17,0.851,Up,-0.129,0.099,-0.107,0.981,G
PALM,1.016,0.058,-0.261,Towards you,0.622,0.128,-0.768,0.085,G
THUMB,0.325,-0.903,0.362,Towards you,0.634,-0.29,-0.485,0.528,G
INDEX,0.074,-0.189,0.838,Up,-0.16,0.088,-0.115,0.976,G
PALM,1.011,0.084,-0.247,Towards you,0.639,0.049,-0.768,0.006,G
PINKY,0.091,0.24,0.969,Up,0.902,0.069,0.007,0.426,G
RING,-0.361,0.215,0.929,Up,-0.602,0.097,-0.175,-0.773,G
MIDDLE,-0.22,0.023,0.98,Up,-0.203,-0.111,-0.022,0.973,G
THUMB,0.337,-0.914,0.354,Towards you,0.633,-0.29,-0.49,0.524,G
INDEX,0.067,-0.184,0.841,Up,-0.163,0.087,-0.119,0.975,G
PALM,1.015,0.091,-0.239,Towards you,0.64,0.04,-0.767,-0.006,G
PINKY,0.074,0.24,0.973,Up,0.9,0.065,0.008,0.43,G
RING,-0.374,0.22,0.931,Up,-0.598,0.101,-0.174,-0.776,G
MIDDLE,-0.207,0.025,0.964,Up,-0.204,-0.114,-0.025,0.972,G
THUMB,0.328,-0.919,0.346,Towards you,0.63,-0.289,-0.491,0.527,G
INDEX,0.058,-0.191,0.838,Up,-0.169,0.084,-0.119,0.975,G
PALM,1.019,0.088,-0.249,Towards you,0.638,0.031,-0.769,-0.012,G
PINKY,0.071,0.245,0.964,Up,0.897,0.066,0.011,0.436,G
RING,-0.395,0.216,0.923,Up,-0.592,0.104,-0.176,-0.78,G
MIDDLE,-0.218,0.03,0.968,Up,-0.206,-0.117,-0.025,0.971,G
THUMB,0.331,-0.916,0.358,Towards you,0.629,-0.289,-0.49,0.53,G
INDEX,0.061,-0.186,0.848,Up,-0.173,0.082,-0.118,0.974,G
PALM,1.017,0.089,-0.234,Towards you,0.638,0.022,-0.769,-0.019,G
PINKY,0.059,0.251,0.972,Up,0.895,0.066,0.013,0.44,G
RING,-0.386,0.223,0.924,Up,-0.588,0.106,-0.177,-0.782,G
MIDDLE,-0.212,0.028,0.97,Up,-0.206,-0.118,-0.026,0.971,G
THUMB,0.317,-0.917,0.37,Towards you,0.629,-0.288,-0.49,0.531,G
INDEX,0.052,-0.19,0.845,Up,-0.176,0.081,-0.117,0.974,G
PALM,1.015,0.094,-0.251,Towards you,0.637,0.012,-0.77,-0.026,G
PINKY,0.064,0.243,0.981,Up,0.893,0.067,0.013,0.445,G
RING,-0.378,0.228,0.939,Up,-0.584,0.1,-0.174,-0.786,G
MIDDLE,-0.205,0.05,0.995,Up,-0.204,-0.099,-0.012,0.974,G
THUMB,0.312,-0.894,0.371,Towards you,0.632,-0.286,-0.487,0.53,G
INDEX,0.103,-0.197,0.869,Up,-0.171,0.113,-0.113,0.972,G
PALM,1.014,0.077,-0.24,Towards you,0.638,-0.006,-0.769,-0.037,G
PINKY,0.11,0.249,0.959,Up,0.896,0.072,-0.005,0.439,G
RING,-0.359,0.234,0.936,Up,-0.593,0.087,-0.169,-0.782,G
MIDDLE,-0.17,0.06,0.981,Up,-0.191,-0.098,-0.008,0.977,G
THUMB,0.33,-0.915,0.406,Towards you,0.643,-0.286,-0.481,0.523,G
INDEX,0.126,-0.191,0.843,Up,-0.157,0.115,-0.111,0.974,G
PALM,1.02,0.097,-0.234,Towards you,0.638,-0.029,-0.768,-0.052,G
PINKY,0.13,0.249,0.973,Up,0.901,0.076,-0.022,0.426,G
RING,-0.291,0.224,0.927,Up,-0.602,0.072,-0.159,-0.779,G
MIDDLE,-0.217,0.089,1.012,Up,-0.18,-0.096,-0.005,0.979,G
THUMB,0.307,-0.911,0.404,Towards you,0.648,-0.286,-0.478,0.52,G
INDEX,0.102,-0.193,0.857,Up,-0.153,0.11,-0.112,0.976,G
PALM,1.018,0.093,-0.237,Towards you,0.635,-0.041,-0.769,-0.061,G
PINKY,0.127,0.231,0.961,Up,0.9,0.075,-0.016,0.429,G
RING,-0.33,0.232,0.945,Up,-0.597,0.08,-0.161,-0.782,G
MIDDLE,-0.185,0.067,0.973,Up,-0.183,-0.105,-0.008,0.977,G
THUMB,0.343,-0.913,0.402,Towards you,0.644,-0.278,-0.482,0.525,G
INDEX,0.106,-0.194,0.835,Up,-0.166,0.105,-0.113,0.974,G
PALM,1.019,0.072,-0.24,Towards you,0.637,-0.039,-0.767,-0.057,G
PINKY,0.063,0.396,0.941,Up,0.887,0.111,0.021,0.447,G
RING,-0.293,0.26,0.883,Up,-0.576,0.082,-0.178,-0.793,G
MIDDLE,-0.299,0.059,0.976,Up,-0.201,-0.149,-0.01,0.968,G
THUMB,0.446,-0.867,0.374,Towards you,0.618,-0.202,-0.521,0.553,G
INDEX,0.042,-0.202,0.866,Up,-0.17,0.085,-0.123,0.974,G
PALM,1.03,0.073,-0.209,Towards you,0.649,-0.043,-0.757,-0.055,G
PINKY,-0.012,0.385,0.905,Up,0.884,0.109,0.086,0.447,G
RING,-0.506,0.282,0.829,Up,-0.573,0.135,-0.24,-0.771,G
MIDDLE,-0.417,0.049,0.881,Up,-0.186,-0.223,-0.032,0.956,G
THUMB,0.469,-0.855,0.387,Towards you,0.617,-0.182,-0.529,0.553,G
INDEX,-0.114,-0.193,0.809,Up,-0.161,-0.002,-0.131,0.978,G
PALM,1.026,0.059,-0.181,Towards you,0.652,-0.055,-0.753,-0.062,G
PINKY,-0.232,0.429,0.859,Up,0.869,0.086,0.192,0.447,G
RING,-0.691,0.337,0.757,Up,-0.549,0.198,-0.328,-0.743,G
MIDDLE,-0.515,0.168,0.796,Up,-0.179,-0.291,-0.025,0.94,G
THUMB,0.427,-0.832,0.46,Towards you,0.647,-0.207,-0.489,0.547,G
INDEX,0.45,-0.189,0.529,Up,-0.158,0.173,-0.12,0.965,G
PALM,1.029,-0.012,-0.194,Towards you,0.654,-0.112,-0.745,-0.071,G
PINKY,-0.281,0.487,0.778,Up,0.873,0.126,0.235,0.409,G
RING,-0.787,0.406,0.568,Left,-0.561,0.194,-0.407,-0.694,G
MIDDLE,-0.64,0.109,0.816,Up,-0.101,-0.32,0.007,0.942,G
THUMB,0.361,-0.818,0.562,Towards you,0.749,-0.269,-0.4,0.454,G
INDEX,0.677,-0.369,0.532,Away from you,-0.088,0.429,-0.165,0.883,G
PALM,1.019,-0.006,-0.218,Towards you,0.626,-0.205,-0.737,-0.152,G
PINKY,-0.32,0.434,0.818,Up,0.898,0.115,0.234,0.354,G
RING,-0.647,0.335,0.535,Left,-0.608,0.187,-0.385,-0.669,G
MIDDLE,-0.68,0.018,0.849,Up,-0.056,-0.327,-0.01,0.943,G
THUMB,0.453,-0.791,0.457,Towards you,0.755,-0.299,-0.435,0.39,G
INDEX,0.711,-0.216,0.519,Away from you,-0.025,0.404,-0.135,0.904,G
PALM,1.035,0.081,-0.149,Towards you,0.638,-0.2,-0.716,-0.2,G
PINKY,-0.397,0.4,0.799,Up,0.893,0.08,0.257,0.36,G
RING,-0.761,0.292,0.577,Left,-0.601,0.22,-0.383,-0.666,G
MIDDLE,-0.658,0.087,0.748,Up,-0.066,-0.346,-0.009,0.936,G
THUMB,0.452,-0.848,0.447,Towards you,0.758,-0.306,-0.436,0.377,G
INDEX,0.746,-0.18,0.567,Away from you,-0.008,0.463,-0.119,0.878,G
PALM,1.035,0.069,-0.144,Towards you,0.636,-0.218,-0.706,-0.22,G
PINKY,-0.378,0.421,0.789,Up,0.892,0.084,0.265,0.357,G
RING,-0.767,0.286,0.579,Left,-0.599,0.227,-0.388,-0.663,G
MIDDLE,-0.649,0.044,0.742,Up,-0.059,-0.358,-0.004,0.932,G
THUMB,0.459,-0.819,0.495,Towards you,0.772,-0.294,-0.424,0.371,G
INDEX,0.83,-0.154,0.409,Away from you,-0.001,0.496,-0.115,0.861,G
PALM,1.042,0.057,-0.099,Towards you,0.639,-0.228,-0.698,-0.23,G
PINKY,-0.397,0.416,0.791,Up,0.885,0.075,0.271,0.371,G
RING,-0.793,0.264,0.559,Left,-0.587,0.24,-0.388,-0.669,G
MIDDLE,-0.68,0.043,0.727,Up,-0.065,-0.367,-0.014,0.928,G
THUMB,0.447,-0.793,0.493,Towards you,0.772,-0.291,-0.416,0.382,G
INDEX,0.925,-0.167,0.262,Away from you,-0.013,0.573,-0.096,0.814,G
PALM,1.034,0.053,-0.15,Towards you,0.636,-0.228,-0.704,-0.221,G
PINKY,-0.448,0.474,0.735,Up,0.863,0.081,0.304,0.396,G
RING,-0.759,0.286,0.483,Left,-0.559,0.254,-0.416,-0.671,G
MIDDLE,-0.769,0.096,0.679,Towards you,-0.07,-0.4,0.002,0.914,G
THUMB,0.357,-0.796,0.545,Towards you,0.778,-0.302,-0.37,0.407,G
INDEX,1.025,-0.086,-0.024,Away from you,-0.031,0.722,-0.074,0.687,G
PALM,1.02,-0.008,-0.257,Towards you,-0.807,-1.982,0.988,1.962,G
PINKY,1.024,0.0,-0.23,Up,0.863,0.081,0.304,0.396,G
RING,-0.836,0.364,0.37,Left,-0.676,0.133,-0.52,-0.505,G
MIDDLE,-0.754,0.138,0.629,Up,0.233,-0.391,0.165,0.875,G
THUMB,0.33,-0.814,0.579,Left,0.878,-0.41,-0.224,0.109,G
INDEX,1.025,0.0,-0.153,Right,0.274,0.693,-0.331,0.578,G
PALM,1.024,-0.015,-0.228,Left,0.418,-0.603,-0.479,-0.483,G
PINKY,-0.497,0.532,0.64,Up,0.887,0.173,0.343,0.257,G
RING,-0.821,0.385,0.38,Left,-0.67,0.139,-0.52,-0.511,G
MIDDLE,-0.725,0.131,0.645,Up,0.231,-0.391,0.164,0.876,G
THUMB,0.32,-0.796,0.595,Left,0.878,-0.409,-0.224,0.108,G
INDEX,1.029,-0.01,-0.142,Right,0.279,0.69,-0.335,0.578,G
PALM,1.024,-0.003,-0.237,Left,0.411,-0.609,-0.471,-0.488,G
PINKY,-0.49,0.55,0.631,Up,0.882,0.167,0.347,0.271,G
RING,-0.825,0.376,0.382,Left,-0.664,0.145,-0.519,-0.518,G
MIDDLE,-0.729,0.127,0.638,Up,0.227,-0.393,0.162,0.876,G
THUMB,0.327,-0.801,0.588,Left,0.877,-0.409,-0.225,0.111,G
INDEX,1.031,-0.01,-0.133,Right,0.281,0.687,-0.338,0.578,G
PALM,1.023,-0.005,-0.232,Left,0.405,-0.615,-0.464,-0.493,G
PINKY,-0.488,0.537,0.633,Away from you,0.877,0.161,0.351,0.285,G
RING,-0.831,0.354,0.383,Left,-0.659,0.151,-0.517,-0.525,G
MIDDLE,-0.721,0.125,0.637,Up,0.224,-0.394,0.16,0.877,G
THUMB,0.312,-0.803,0.594,Left,0.877,-0.408,-0.225,0.112,G
INDEX,1.032,-0.003,-0.12,Right,0.286,0.684,-0.341,0.578,G
PALM,1.023,-0.013,-0.236,Left,0.397,-0.622,-0.454,-0.499,G
PINKY,-0.48,0.528,0.644,Away from you,0.873,0.156,0.352,0.299,G
RING,-0.812,0.369,0.394,Left,-0.654,0.155,-0.515,-0.532,G
MIDDLE,-0.746,0.136,0.63,Up,0.222,-0.393,0.16,0.878,G
THUMB,0.31,-0.803,0.598,Left,0.878,-0.407,-0.224,0.113,G
INDEX,1.023,0.017,-0.125,Right,0.291,0.681,-0.344,0.577,G
PALM,1.026,-0.005,-0.231,Left,0.39,-0.63,-0.445,-0.504,H
PINKY,-0.508,0.527,0.634,Away from you,0.867,0.149,0.357,0.314,H
RING,-0.811,0.374,0.39,Left,-0.648,0.164,-0.514,-0.538,H
MIDDLE,-0.725,0.122,0.645,Up,0.219,-0.396,0.157,0.878,H
THUMB,0.312,-0.79,0.612,Left,0.879,-0.406,-0.224,0.113,H
INDEX,1.028,0.008,-0.108,Right,0.293,0.681,-0.347,0.574,H
PALM,1.022,-0.018,-0.251,Left,0.385,-0.635,-0.437,-0.508,H
PINKY,-0.412,0.549,0.644,Away from you,0.86,0.143,0.356,0.336,H
RING,-0.838,0.323,0.383,Left,-0.631,0.174,-0.505,-0.563,H
MIDDLE,-0.719,0.116,0.65,Towards you,0.178,-0.397,0.147,0.888,H
THUMB,0.387,-0.79,0.531,Left,0.875,-0.393,-0.242,0.146,H
INDEX,1.038,-0.036,-0.068,Right,0.282,0.676,-0.335,0.592,H
PALM,1.021,-0.06,-0.233,Left,0.393,-0.629,-0.44,-0.506,H
PINKY,-0.454,0.524,0.65,Up,0.85,0.134,0.356,0.365,H
RING,-0.818,0.384,0.4,Left,-0.626,0.179,-0.499,-0.572,H
MIDDLE,-0.741,0.119,0.646,Up,0.19,-0.393,0.149,0.887,H
THUMB,0.32,-0.786,0.601,Left,0.876,-0.396,-0.24,0.137,H
INDEX,1.027,-0.005,-0.044,Right,0.296,0.663,-0.34,0.598,H
PALM,1.025,-0.024,-0.219,Left,0.387,-0.635,-0.429,-0.513,H
PINKY,-0.474,0.589,0.758,Up,0.844,0.134,0.338,0.394,H
RING,-0.945,0.406,0.779,Left,-0.622,0.152,-0.446,-0.625,H
MIDDLE,-0.285,0.277,0.716,Up,0.123,-0.206,0.128,0.962,H
THUMB,0.362,-0.921,0.399,Towards you,0.816,-0.4,-0.316,0.273,H
INDEX,0.756,-0.465,0.445,Right,0.297,0.464,-0.302,0.778,H
PALM,1.022,0.04,-0.22,Left,0.423,-0.6,-0.489,-0.471,H
PINKY,0.279,0.318,0.893,Up,0.871,0.189,-0.051,0.451,H
RING,-0.012,0.26,0.997,Up,-0.666,-0.065,-0.083,-0.739,H
MIDDLE,-0.002,0.118,0.995,Up,0.081,0.003,0.048,0.996,H
THUMB,0.258,-0.926,0.394,Towards you,0.765,-0.444,-0.337,0.323,H
INDEX,0.205,-0.229,0.789,Up,0.298,0.118,-0.201,0.926,H
PALM,1.007,0.002,-0.297,Left,0.408,-0.595,-0.513,-0.466,H
PINKY,0.287,0.271,0.941,Up,0.859,0.152,-0.073,0.483,H
RING,-0.15,0.227,1.011,Up,-0.666,-0.009,-0.104,-0.739,H
MIDDLE,-0.137,0.089,0.973,Up,0.083,-0.081,0.043,0.992,H
THUMB,0.226,-0.921,0.431,Towards you,0.772,-0.441,-0.333,0.314,H
INDEX,0.175,-0.199,0.825,Up,0.295,0.098,-0.176,0.934,H
PALM,1.016,0.021,-0.291,Left,0.403,-0.599,-0.505,-0.473,H
PINKY,0.28,0.292,0.92,Up,0.86,0.146,-0.064,0.484,H
RING,-0.171,0.242,0.993,Up,-0.663,0.005,-0.125,-0.738,H
MIDDLE,-0.186,0.146,0.987,Up,0.085,-0.096,0.053,0.99,H
THUMB,0.264,-0.928,0.403,Towards you,0.776,-0.437,-0.33,0.313,H
INDEX,0.163,-0.209,0.827,Up,0.289,0.091,-0.168,0.938,H
PALM,1.009,0.02,-0.279,Left,0.398,-0.605,-0.498,-0.478,H
PINKY,0.266,0.299,0.92,Up,0.86,0.143,-0.058,0.487,H
RING,-0.201,0.255,0.971,Up,-0.658,0.013,-0.134,-0.741,H
MIDDLE,-0.2,0.109,0.974,Up,0.082,-0.105,0.056,0.989,H
THUMB,0.236,-0.924,0.42,Towards you,0.776,-0.438,-0.328,0.314,H
INDEX,0.157,-0.195,0.831,Up,0.289,0.079,-0.162,0.94,H
PALM,1.015,0.022,-0.272,Left,0.391,-0.613,-0.488,-0.484,H
PINKY,0.27,0.287,0.927,Up,0.861,0.142,-0.057,0.486,H
RING,-0.219,0.254,0.981,Up,-0.657,0.017,-0.141,-0.741,H
MIDDLE,-0.199,0.127,0.976,Up,0.082,-0.106,0.059,0.989,H
THUMB,0.238,-0.922,0.426,Towards you,0.776,-0.437,-0.328,0.314,H
INDEX,0.121,-0.19,0.85,Up,0.286,0.078,-0.159,0.942,H
PALM,1.006,0.01,-0.284,Left,0.383,-0.621,-0.48,-0.487,H
PINKY,0.285,0.331,0.928,Up,0.862,0.142,-0.053,0.483,H
RING,-0.14,0.315,0.896,Up,-0.65,0.018,-0.15,-0.745,H
